Author-作者,Title-题名,Source-刊名,Year-年,Roll-卷,Period-期,PageCount-页码
李美琴;,创新高校工会工作的理论思考,工会论坛(山东省工会管理干部学院学报),2010,,1,"""64-65"""
,建立定向职工法律援助制度 完善工会依法维权工作机制,中国工运,2010,,1,"""31-32"""
孔慧娟;,浅析如何提高女工组织的维权意识,中小企业管理与科技(下旬刊),2010,,12,220
王炳起;,政府应充分发挥工会在调整利益分配格局中的作用,天津市工会管理干部学院学报,2010,,4,2月4日
吴京芬;,新时期企业工会工作的若干思考,中国电力教育,2010,,S2,32-34
刘广忠;,坚定信心 迎难而上 推动工会法律工作创新发展,中国职工教育,2010,,12,21-22
苍喆;陈凤华;,有一种精神叫“责任”——记全国劳动模范、中国工会十五大代表、大连·信阳(新县)进城务工人员工会联合会主席袁继斌,现代企业文化,2010,,11,62-63
吴亚平;,企业工会:劳动者权益的代表者和维护者——兼论工会组织体制改革的目标和方向,新视野,2010,,6,33-35
张玫瑰;王孟斐;,中美教育工会组织制度比较与研究,公民与法(法学版),2010,,9,62-64
罗卫革;,新时期建筑企业基层工会工作难点及对策研究,科技风,2010,,18,45+51
张原;陈建奇;,工会与行业劳动报酬的剪刀差悖论:基于中国数据的经验研究,经济评论,2010,,5,82-94
,月报,工会博览,2010,,9,31-33
齐杏发;,市场背景下中国传统工会转型的可能路径,华东经济管理,2010,,8,38-40
冯韬;,切切关爱显真情——师宗县总工会维权纪事,时代风采,2010,,8,12月13日
刘尔民;,以科学发展观为指导 全面提升工会工作创新水平,中国劳动关系学院学报,2010,,4,61-63
刘传文;,工会应在劳动争议调解中发挥重要作用,工会论坛(山东省工会管理干部学院学报),2010,,4,48
鲍卫东;,也从富士康事件谈中国的工会改革,全国商情(理论研究),2010,,13,43-44+63
吴亚平;,转型时期:工会面临的挑战与基本职责,中共浙江省委党校学报,2010,,4,8月12日
朱爱君;,基于党执政能力建设的高职院校工会作用发挥浅议,经济研究导刊,2010,,19,249-250
马梦砚;,强化自身组织建设充分发挥工会在构建和谐社会中的积极作用,新疆广播电视大学学报,2010,,2,54-57
魏春梅;,关于工会工作社会化的思考与实践,兵团工运,2010,,6,13
,依靠职工办好企业 促进企业和谐发展(上篇)——二商集团实现职工收入四年“翻一番”工作纪实,工会博览,2010,,6,57
李桂香;,在企业中如何发挥好工会大学校作用,经营管理者,2010,,10,306
王凌云;,自治区总工会到我区住房城乡建设系统调研,广西城镇建设,2010,,5,14
席小凤;,新形势下煤炭企业工会组织如何履行维护职能,现代企业,2010,,5,44-45
杨松;,谁为受伤的矿工讨说法——石屏县总工会维权纪实,时代风采,2010,,5,15-16
朱凤阁;,关于加强基层工会工作的几点思考,才智,2010,,13,23
中国劳动关系学院课题组;,全球化背景下中国工会发展道路的路径选择,中国特色社会主义研究,2010,,2,81-85
李金水;李绍平;,法律视域下高校用工制度的研究,理论界,2010,,4,213-215
欧阳皓;,"打造“四型”素质基础,开创工会工作新局",科技信息,2010,,10,55
祁军;,结合企业实际 创新工会工作,中国劳动关系学院学报,2010,,2,35-37
孟宪军;,创建学习型企业 打造高素质职工,天津市工会管理干部学院学报,2010,,1,28-31
牛满;,工会组织在国有企业改制中的作用,海峡科学,2010,,3,71-72
张朝香;,浅谈在创建劳动关系和谐企业如何发挥工会的作用,企业家天地下半月刊(理论版),2010,,3,21-22
李冬梅;,新时期工会干部要提高“五种能力”,兵团工运,2010,,2,15
本刊编辑部;简洁;,致读者,中国劳动关系学院学报,2010,,1,131
杨佩琴;,加强新时期非在编职工入会工作的思考,现代医院,2010,,1,125-127
开宝;冯韬;,不负职工所托——武定县总工会维权记事,时代风采,2010,,1,11月12日
,中国律师杂志社 中国律师网 联合推出 中国律师行业十件大事,中国律师,2010,,1,16-17
张秉涛;,新时期加强企业工会职能作用的探讨,科技促进发展,2010,,S1,230+228
邵文香;,在和谐企业创建活动中如何做好工会工作,科技促进发展,2010,,S1,276+274
李芳玉;,企业工会工作现状的调研分析及对策,中国新技术新产品,2010,,10,252
吴大耀;,坚持“四个到位”做好地税代收工作,中国工会财会,2010,,5,34
肖世平;,“五个创新 六个结合 六个到位”提升基层工会财务工作水平,中国工会财会,2010,,5,32-33
罗宝财;,完善工会财务资产监管机制,中国工会财会,2010,,5,6
张雯;,2009年省级政府与工会联席会议成效显著,中国工运,2010,,4,26-27
刘梅;,企业工会的重要课题:构建和谐企业工会工作机制,中国职工教育,2010,,4,62-63
,关于2009年省级工会上缴全总经费情况的通报,中国工会财会,2010,,4,7
陈永良;,在转变经济发展方式中 发挥工人阶级主力军作用,杭州(下旬刊),2010,,3,19
甄静慧;,曾飞洋:一个劳工NGO的夹缝生存,南风窗,2010,,6,66-68
马珲;,工会维护农民工权益问题初探,职业时空,2010,,3,24-25
仙居县委党校联合课题组;吴坚;,欠发达地区困难职工群体问题及其破解对策——基于县级工会的研究视域,北京市工会干部学院学报,2010,,1,8月12日
苏映红;,培育工人权利意识的必要性及其主要内容,北京市工会干部学院学报,2010,,1,13-16
刘丽臣;,服务型工会建设体现工会新作为,北京市工会干部学院学报,2010,,1,28-29
周寿成;,兖矿集团工会以“有为”谋“有位”,现代企业文化,2010,,3,82-83
郝丽琳;,科学发展观指导下的企业民主管理建设探微,市场论坛,2010,,3,36-37
,退休员工的医疗保险费怎样缴纳?,工友,2010,,3,45
张明;,贯彻党的群众路线 发挥工会职能作用,中国工运,2010,,3,27-28
郭稳才;王英;,关于全国工会推进“双措并举、二次覆盖”工作情况的调查,中国工运,2010,,3,29-30+34
杨杰;,建立健全“四个机制” 充分发挥乡镇、村工会“三个作用”,中国工运,2010,,3,37+39
孙玉杰;,构建和谐劳动关系 开展“共建共享”主题活动,中国工运,2010,,3,40-41
,来稿摘登,中国工运,2010,,3,59-60
,工运短波,时代风采,2010,,3,60-61
戴恒曙;,如何让行业报的“面孔”更亲切,新闻世界,2010,,3,21-22
董燕;,充分应用审计结果 提高经费监督效能,时代风采,2010,,3,58-59
赵爱学;叶少雄;许勇;,金融危机下职代会工作的实践与思考,武钢政工,2010,,3,33-35
杨秀春;,对煤矿安全监管的几点看法,中小企业管理与科技(上旬刊),2010,,3,201
,立足改革 盘活资产 推动工会企事业发展,中国工会财会,2010,,3,25-26
王颖;,为春天歌唱,工会博览,2010,,3,1
徐代珍;,新农村建设环境下的农民工转移探讨,当代教育理论与实践,2010,,1,68-71
胡秋丽;,对加强新时期多经企业工会工作的调查,理论学习与探索,2010,,1,39-40
文士;,农民工在哪里我们的服务就做到哪里,兵团工运,2010,,2,24
陈宗军;,南口农场工会扶贫帮困工作成效显著,兵团工运,2010,,2,41
本刊编辑部;,切实推动保障和改善民生政策的贯彻落实,中国工运,2010,,2,2
唐宝印;曹力;,中铁电气化局集团工会 贴近职工抓服务 突出特色创品牌,工会博览,2010,,2,59
陈鹏浩;,北京现代公司工会 职工“提素”为企业发展立新功,工会博览,2010,,2,65
,海淀园工会 拓宽工作领域 发挥工会协调作用,工会博览,2010,,2,67
赵家虎;,对新形势下基层工会工作创新发展的思考,中国劳动关系学院学报,2010,,1,93-95
郝永玥;,煤炭企业发挥工会“大学校”作用刍议,中国劳动关系学院学报,2010,,1,90-92
刘华敏;,试论加强工会自身能力建设,胜利油田党校学报,2010,,1,122-123
路洪霞;,在构建和谐企业中工会要发挥积极作用,工会论坛(山东省工会管理干部学院学报),2010,,1,6月7日
柴强;,八十三团“关爱农民工”多措并举重实效,兵团工运,2010,,1,38
邵忠新;,一八二团工会坚持以人为本构建和谐工会,兵团工运,2010,,1,39
韩玉芳;,“四一”制度为职工排忧解难,兵团工运,2010,,1,40
王娇萍;,维护工会主席权益是社会共同责任,工友,2010,,1,18-19
向德荣;,以党的十七届四中全会《决定》为指导 深化对工会理论和实践的认识,中国工运,2010,,1,8月10日
王洋;,工会工作社会化的探讨,中国工运,2010,,1,39-40
,各地工运信息,中国工运,2010,,1,59-60
李卫星;,强化基础促和谐 服务基层保稳定,农村.农业.农民(A版),2010,,1,42
罗棘;,村官新闻,农家顾问,2010,,1,17-18
刘永发;,顺义区总工会六项措施完善维权机制 深化服务理念,工会博览,2010,,1,12月13日
齐兆琳;,创新是做好工会工作的永续动力,天津市工会管理干部学院学报,2010,,4,21-23
任庆祥;,对非公企业劳资纠纷群体事件的若干思考,天津市工会管理干部学院学报,2010,,4,24-25
吴丽琼;,高等学校教育工会在加强教师队伍建设中的作用的思考,福建教育学院学报,2010,,6,34-36
丁爱梅;,工会组织如何在构建和谐社会中发挥积极作用,东方企业文化,2010,,18,118-119
范桂红;,从富士康跳楼事件谈新生代农民工权益的法律保护,中共郑州市委党校学报,2010,,6,51-52
邰伯红;,浅谈改善中小民营企业运营资金管理及对策,价值工程,2010,,35,94-95
石晓天;,农民工权益维护的路径分析及其出路,唯实,2010,,12,57-61
许敬;,强本创新是企业发展的不竭动力,科学之友,2010,,23,124-125
鲁芳;,维护职工合法权益 构建和谐劳动关系——《湖北省企业工会条例》解读,楚天主人,2010,,12,26-28
林朝晖;,完善女职工权益保护专项集体合同制度探析,北京市工会干部学院学报,2010,,4,28-31
赵建业;刘文莉;,发挥工会在国企改制中的作用,现代企业文化,2010,,12,86-87
柴强;,八十三团关爱农民工重实效,兵团工运,2010,,12,47
冉仁淑;,十团为拾花工开辟“绿色通道”,兵团工运,2010,,12,47
姚正卿;,试论新形势下国有企业的政工工作,厦门科技,2010,,6,49-51
王茹;李亚辉;,农民工劳动合同中存在的问题及原因分析,乌鲁木齐职业大学学报,2010,,4,33-36
,大视野,时代风采,2010,,12,6月7日
欧阳骏;,工会宏观参与的重要原则,工会理论研究(上海工会管理职业学院学报),2010,,6,4月6日
齐凌云;,社会转型期的中国工会组织:困境与改革,工会理论研究(上海工会管理职业学院学报),2010,,6,10-12+25
王玉普;,依法推进“两个普遍” 更好地发挥企业工会作用,中国职工教育,2010,,12,8月9日
冯笑;,职工维权法律服务热线开通,中国职工教育,2010,,12,27
王欣;,如何做好勘察设计院工会工作的探索,企业研究,2010,,23,70-71
,建立“六位一体”维权体系 促进全市和谐劳动关系建设,中国职工教育,2010,,12,23-24
,努力化解劳动争议 构建和谐稳定的劳动关系,中国职工教育,2010,,12,25-26
孙连才;,"中国工会制度改革,刻不容缓",新财经,2010,,12,38-39
屠小华;,论工人报刊在协调劳动关系中的角色与作为,中国劳动关系学院学报,2010,,6,41-45
孙源;高强;,关于农民工加入工会的浅谈,商业文化(学术版),2010,,11,117
刘淑媛;,论以科学发展观指导高校工会工作,赤峰学院学报(自然科学版),2010,,11,151-152
周晶;,保障职工合法权益 构建和谐劳动关系,黑龙江科技信息,2010,,33,137
张新;,浅谈新形势下的工会工作机遇与挑战,民营科技,2010,,11,161
李梓一;,让沉默的中国劳工说话,经营管理者,2010,,22,103
刘勇;,对增强基层工会活力的思考,江汉石油职工大学学报,2010,,6,68-70
李安平;叶雪刚;王贵军;,职工群众“好大哥” 管理团队“好帮手”——记英格索兰(桂林)工具有限公司党总支书记、工会主席王远文,当代广西,2010,,22,40
刘永明;,创建“3+1”安康工作模式,现代职业安全,2010,,11,88-91
夏柏林;,三十四团真情为拾花工维权,兵团工运,2010,,11,51
陈群;,工会工作的哲学思考,中国工运,2010,,11,44-45
胡志敏;,努力推进中国特色社会主义工会建设在基层的落实,中国工运,2010,,11,47-48
本刊特约记者;,扎实推动“两个普遍” 切实维护职工权益和社会稳定——访中共四川省委常委、省总工会主席李登菊,中国工运,2010,,11,7月8日
,多措并举 务求实效 积极推行区域(行业)性职代会制度,中国工运,2010,,11,14-15
曹林飞;,企业工会法律援助现状及建议,中国工运,2010,,11,51-52
任庆祥;,非公企业因劳资纠纷引发群体事件的思考,中国工运,2010,,11,50-51
刘艳艳;,从富士康事件看新生代农民工的劳动权益保护,山东省青年管理干部学院学报,2010,,6,22-24
李佐祥;,浅谈工会在构建和谐企业中的作用,商场现代化,2010,,32,114
张约翰;,工农和睦一家人——云南省“百名优秀农民工疗养团”座谈会侧记,时代风采,2010,,11,4
开宝;冯韬;,收获金秋的果实——昆明市嵩明县工会工作记事,时代风采,2010,,11,7月8日
龚汇;,事实劳动关系认定 尘肺矿工打赢官司,四川劳动保障,2010,,11,33
马晓红;,和谐社会视界高校工会的定位及职能,黑龙江高教研究,2010,,11,54-56
李雪飞;龙一平;,高校建设和谐劳动关系的有关问题研究,中小企业管理与科技(上旬刊),2010,,11,62
林松;,"坚持中国特色,推动高校工会工作创新发展",边疆经济与文化,2010,,11,178-179
范春科;,浅谈新形势下项目工会如何发挥作用,科技信息,2010,,31,782+836
李达球;,对进一步做好收取建会筹备金工作的几点意见,中国工会财会,2010,,11,4月5日
,他山之石,工会博览,2010,,11,27
何玉琳;,以“四师”要求为标准 努力提升政工干部素质,湖南烟草,2010,,5,44-45
陶孟明;丁俊祥;,高校后勤外聘员工加入工会组织存在的问题及对策,合肥工业大学学报(社会科学版),2010,,5,154-156
陈柏松;,浅谈特检中心工会的发展思路,科技风,2010,,20,50
吴清军;许晓军;,劳资群体性事件与工会利益均衡及表达机制的建立,当代世界与社会主义,2010,,5,154-158
李刚;韩荣华;,东营河口:用心关爱建筑农民工,建筑,2010,,20,35-36
牛承禹;,关于推进企业工会工作创新发展的思考,经营管理者,2010,,20,425
,湖北出台全国首部省级企业工会条例,领导决策信息,2010,,40,13
李煜玘;,农民工维权途径选择调查研究,劳动保障世界(理论版),2010,,10,59-60
庞志;邢华彬;,中国文化背景下劳资关系的特点及中国经验,江西金融职工大学学报,2010,,5,79-82
陈皓;,采取切实措施维护女工合法权益,兵团工运,2010,,10,47
刘超捷;郝万奇;,论职业安全卫生受训权,生产力研究,2010,,10,112-114
刘建琳;,建设服务型工会,时代风采,2010,,10,11
李洪文;,中外合资经营企业工会工作的探讨,时代风采,2010,,10,19-20
薛春生;戴树云;,全面扎实地推进基层工会联合会建设,中国工运,2010,,10,31-32
岳涛;,工会工作与企业文化建设的内在联系与作用途径,中国工运,2010,,10,41-42
吴耘;,“三力”目标 体现价值 “四大重点”实践落实,中国工运,2010,,10,43-44
,地方工运文摘,中国工运,2010,,10,55-56
,认真履行基本职责 全力调处劳动争议,红旗文稿,2010,,19,41
,主动依法科学维权 构建和谐劳动关系,工会理论研究(上海工会管理职业学院学报),2010,,5,15-17
王晓燕;,当前国有企业工会工作面临的问题及对策,现代经济信息,2010,,19,61-62
柏祝玲;,高校劳动关系变化中的职工权力维护,世界教育信息,2010,,10,86-88
,《中国工会理论与实践文集》征稿启事,中国工人,2010,,10,62
,全国模范职工之家——大连大学工会,中国工人,2010,,10,65
孙效东;,对加强工会经审工作的几点意见,中国工会财会,2010,,10,4月5日
王玉普;,依法推进“两个普遍”更好地发挥企业工会作用,人民论坛,2010,,28,8月10日
陈维权;,赋予工会更多资源和手段 推进社会主义和谐社会建设,中国劳动关系学院学报,2010,,5,75-77
赵健杰;,学术观点荟萃的精神盛宴——2010’中国工会·劳动关系论坛侧记,中国劳动关系学院学报,2010,,5,120-123
,"创新工作思路,促进工资协商机制的完善",工会博览,2010,,10,14-15
胡玉珍;南洁;王建鸿;,在构建和谐劳动关系中发挥积极作用,石油政工研究,2010,,5,58-59
编辑部;,本期导读,天津市工会管理干部学院学报,2010,,3,1
张玉辉;马昭;,关于驻津金融机构工会组织建设及工作开展情况的调研报告,天津市工会管理干部学院学报,2010,,3,34-36
何耀山;,论如何充分发挥物管企业工会在建设和谐社会中的作用,商业文化(学术版),2010,,9,75-76
邹彤;,浅谈基层(车间)工会工作的创新,才智,2010,,27,15
李令成;,适时转变工会职能 促进国有企业改制,中国集体经济,2010,,27,43
沙滨;,构筑企事业内部的和谐劳动关系,科技信息,2010,,27,419+382
蒋红军;杜雨来;,和谐社会视角下农民工权利保障措施,商业经济,2010,,18,17-18+38
宋作臣;刘亚静;杜晓毅;,以科学发展观为指导创新高校工会工作,工会论坛(山东省工会管理干部学院学报),2010,,5,25-26
张国权;,扩大工会组织覆盖面 夯实工会工作基础,兵团工运,2010,,9,6
姜红;,铿锵玫瑰——记农一师八团工会主席史自敏,兵团工运,2010,,9,20
刘永峰;付豪;江龙军;,13天艰难维权18名遇难矿工家属获赔670万,工友,2010,,9,12月14日
陈恢祥;,浅谈工会组织在建设和谐企业中的作用,社科纵横(新理论版),2010,,3,46+56
姚强;,工会积极发挥职能作用的创新,东方企业文化,2010,,12,141
许慧英;巩志娟;,新生代农民工融入城市问题探究,人民论坛,2010,,26,208-209
,北京南京青岛的工会“独立行动”,领导决策信息,2010,,36,18
刘胜坤;,关于构建工会组建工作评价体系的思考,中国工运,2010,,9,42-43
王学增;臧琳琳;费俊清;,加强村级工会组织建设的思考,中国工运,2010,,9,49-50
,各地工运信息,中国工运,2010,,9,59-60
马韦;,为困难职工撑起一片绿荫——昆明市总工会困难职工帮扶中心维权纪实,时代风采,2010,,9,14-15
王连生;,"县级工会组织要在“转方式,调结构”中努力做到“五个新”",时代风采,2010,,9,28
吴文超;,浅谈企业工会工作的重点,中国商界(上半月),2010,,9,95
薛利娜;,对中国工会存在问题的思考与建议,法制与社会,2010,,25,202
张红;,女农民工维权热点、难点问题研究与思考,中小企业管理与科技(上旬刊),2010,,9,110
王根航;,架起民主管理服务职工的桥梁,化工管理,2010,,9,84-85
邢五一;,在劳动关系变局中抢占先机,中国律师,2010,,9,73-76
朱熙;,加强企业基层工会工作的方法和对策,价值工程,2010,,24,134
王英;,工会工作在企业发展中要突出的“五项重点”,中国新技术新产品,2010,,16,185
纪艳;,浅谈如何做好为企业员工的维权工作,今日科苑,2010,,16,154
刘艳艳;,从富士康事件看新生代农民工的劳动权益保护,上海青年管理干部学院学报,2010,,3,10月12日
妮莎汗;,二二四团多项举措推动自身建设有序发展,兵团工运,2010,,8,52
莫永涛;,新形势下实现职工与企业“双赢”之管见,工会理论研究(上海工会管理职业学院学报),2010,,4,34-35
,在创新中开拓进取——中国中铁电气化局集团公司工会,中国工运,2010,,8,70
,地方工运文摘,中国工运,2010,,8,57-58
王兆国;,在全总十五届四次执委会议上的讲话,中国工运,2010,,8,4月7日
郭海亮;,坚持“四抓”激发活力 充分发挥企业工会作用,中国工运,2010,,8,11月12日
本刊编辑部;,努力破解当前面临的突出问题,中国工运,2010,,8,1
,扎实推进工资集体协商工作 努力构建和谐稳定的劳动关系,中国工运,2010,,8,21-22
,以作为求地位 以创新谋发展,中国工运,2010,,8,25-26
冯同庆;,美国教育工会的启示与中国教育工会的实践,中国工人,2010,,8,12月15日
,外企工会,工会博览,2010,,8,68-69
曹树林;,“双向维权”为农民工撑腰说话,农村实用技术,2010,,8,6
郑玉民;,企业文化理论对搞好工会工作的启示,石油政工研究,2010,,4,38-40
陈秋女;,探讨教职工工会在高职院校中发挥的作用,新闻天地(下半月刊),2010,,7,67-68
刘双平;,浅析企业文化建设与工会工作的关系,企业家天地(理论版),2010,,7,93
钱纲;,把握职工思想动态 做好维权稳定工作,学习月刊,2010,,20,52+104
游正林;,60年来中国工会的三次大改革,社会学研究,2010,,4,76-105+244
李丹慧;,浅谈工会组织在维护社会稳定中的作用,黑龙江生态工程职业学院学报,2010,,4,58-59
张国华;,试析新形势下发挥煤矿工会作用的途径,工会论坛(山东省工会管理干部学院学报),2010,,4,49
邓飞;,工会工作的10个着力点,中国石油企业,2010,,7,112
冯哲;,农民工权益保障的诉讼救济途径研究——从团体诉讼制度在我国的建立谈起,前沿,2010,,13,66-68
衡平;,工会应与职工“零距离”,兵团工运,2010,,7,30
本刊评论员;,紧跟党的步伐 挺立时代潮头——热烈庆祝中国共产党成立89周年,工会博览,2010,,7,1
,京城控股,工会博览,2010,,7,53
孙志忠;,浅析企业工会工作如何求真务实,新西部,2010,,6,58
朱玲;,由“民工荒”再谈非公有制企业职工权益保障机制的完善,沧桑,2010,,6,70-71
白斌;,工会充分履行维护劳动者合法权益神圣职责感悟,天津市工会管理干部学院学报,2010,,2,5月7日
盛丽丽;,关于工会工作主动权的把握问题,天津市工会管理干部学院学报,2010,,2,27-28
游璇;,高校工会组织维护教师合法权益的思考,福建广播电视大学学报,2010,,3,60-62
刘文龙;,创新主张 责任所系——记河北省总工会推行劳动安全卫生专项集体合同工作,现代职业安全,2010,,6,93-95
,以公共服务为载体 以促进融合为目标 探索农民工市民化的新模式,中国经贸导刊,2010,,11,27-28
,早加入工会该多好,建筑工人,2010,,6,32
王占洲;,论工会组织与政府监管机构的合作,北京市工会干部学院学报,2010,,2,3月7日
祖迎春;,坚持用科学发展观指导工会工作,企业家天地(理论版),2010,,6,78
赵儒彬;田志;白永祥;,强化林业企业工会服务意识,内蒙古林业,2010,,6,25
陈荣书;,在加快经济发展方式转变中充分发挥工会组织的重要作用,中国工运,2010,,6,4-8+11
,全国工会研究室主任会议在江西省井冈山市召开,中国工运,2010,,6,13
,服务大局 注重实效 推进工资集体协商,工会理论研究(上海工会管理职业学院学报),2010,,3,11月14日
唐薇;,市场经济条件下如何开展劳动竞赛活动,中国商界(上半月),2010,,6,100-101
万宗明;,求真务实 创新工会工作,市场周刊(理论研究),2010,,5,100
于志勇;,浅析加强民主管理促进企业发展,科技信息,2010,,15,381
宗玲;贺慧春;李伶;,论煤矿矿工维权现状与提升对策,中国煤炭,2010,,5,47-50
王晓红;,改制企业工会工作面临的问题与对策,青年记者,2010,,14,88
吴正昌;,新形势下工会工作面临的主要任务,工会论坛(山东省工会管理干部学院学报),2010,,3,28-29
刘卫红;张宏伟;刘新;,大学生劳动维权教育教学体系研究,党史博采(理论),2010,,5,36-38
梅克保;,把更多资源和手段赋予工会组织,新湘评论,2010,,10,10月12日
陈颖;,激活企业的精神——成都市锦江区交通系统非公企业党建工作纪实,四川党的建设(城市版),2010,,5,54-55
李小雪;,潘兰英的别样人生,工友,2010,,5,34-35
于丹丹;,农十四师电力公司扎实开展妇女维权宣传工作,兵团工运,2010,,5,47
王劲平;曹从玲;,加大法律援助力度满足群众维权要求,兵团工运,2010,,5,48
谢义学;,天正建筑公司按月支付农民工工资达700多万元,兵团工运,2010,,5,48
张根锁;,让职工有尊严地工作,粘接,2010,,5,28
李达明;林龙婷;韩亚;,宜昌:创新工会工作思路发展家政服务产业,中国职工教育,2010,,5,47-48
朱淑敏;,新形势下国有企业工会工作面临的问题及对策研究,才智,2010,,13,252
杨淑凤;,关于北京市东北旺农场职工合法权益保护机制建立情况的调研报告,北京农业,2010,,15,65-67
齐爱华;,农民工法制教育问题的实践探索,兰州教育学院学报,2010,,2,78-81
吴克忠;,改制企业女职工维权工作浅谈,改革与开放,2010,,8,6+8
王冬梅;,浅谈国企工会工作的新思路,现代经济信息,2010,,8,35
李军;,建机制 抓载体 促维权,兵团工运,2010,,4,45
本刊编辑部;,弘扬工人阶级伟大品格 为兵团更好地发挥“三大作用”再创佳绩,兵团工运,2010,,4,1
师共辉;,加强工会自身建设 推动工会工作创新发展,兵团工运,2010,,4,9
张桂平;,和谐校园建设应重视工会工作,才智,2010,,11,276
李小莉;,职能视角的新时期煤炭企业工会工作探索,企业导报,2010,,7,99
,甘肃推动农民工从“体力务工”走向“技能就业”,中国培训,2010,,4,31
杨帆;,以法治约束“特殊利益集团”,瞭望,2010,,15,64
刘金祥;,金融危机对《劳动合同法》实施的影响及对策,上海企业,2010,,4,48-51
尹家胜;,构建学习型组织 发挥工会职能,科学咨询(决策管理),2010,,4,35
王友青;,企业带薪休假制度落实的现状及对策分析——以西安为例,消费经济,2010,,2,60-62+66
戴卫东;,澳大利亚煤矿生产安全保障制度研究,中国矿业大学学报(社会科学版),2010,,1,77-82
姜素娟;,和谐社会视域下女职工合法权益保障探讨,工会论坛(山东省工会管理干部学院学报),2010,,2,17+48
王晓颖;,以求真务实创新的精神统领工会工作,资治文摘(管理版),2010,,3,33+45
余立;赵凤琴;冯爱玲;杨文锋;张英;,完善高校教师校内申诉制度的思考,北京教育(高教版),2010,,3,38-40
孙德强;,完善工会会员权利救济的途径,中国人力资源开发,2010,,2,87-90
张士杰;郝秀英;,新时期教职工之家建设的实践与思考,北京教育(高教版),2010,,2,46-47
李军燕;,落实“三不让”承诺促进铁路劳动关系和谐发展,产业与科技论坛,2010,,2,245-247
李立芝;,增强女职工组织凝聚力和向心力的途径,工会论坛(山东省工会管理干部学院学报),2010,,1,48-49
王大宏;,金融危机带给企业民主管理的思考,工会论坛(山东省工会管理干部学院学报),2010,,1,43-44
林媛媛;,充分发挥工会维权作用 努力构建和谐稳定的劳动关系——广西水电工程局工会工作的实践与探索,广西电业,2011,,12,"""59-61"""
侯晓燕;,浅论小学教育工会维权职能履行,才智,2011,,35,"""68"""
朱素霆;,在市场经济条件下工会维权所面临的问题研究,北方文学(下半月),2011,,11,"""219"""
黄羡琳;,高校工会维权职能在构建和谐校园中的运用及强化,工会论坛(山东省工会管理干部学院学报),2011,,6,"""17-19"""
李敏;范长慧;,试析工会维权与企业发展的良性互动,工会论坛(山东省工会管理干部学院学报),2011,,6,"""22-23"""
吴秉江;涂有胜;,新形势下高校工会维权工作的困境及其机制完善,职业,2011,,32,"""74-75"""
魏新华;,工会维权面临的问题及对策,新西部(下旬.理论版),2011,,11,"""95"""
黄羡琳;,高校工会“依法维权”工作现状与维权制度建设研究,才智,2011,,29,"""9-10"""
李永功;,提高工会维权职能,东方企业文化,2011,,19,"""96"""
许建平;,工会维权机制的分析与思考,工会信息,2011,,19,"""8-10"""
徐建丽;,农民工自力维权组织与工会引导,中国劳动关系学院学报,2011,,5,"""43-46"""
井水;,浅谈新时期高校图书馆工会维权问题,边疆经济与文化,2011,,9,"""139-140"""
,推动工会维权工作向人文化社会化发展,中国工运,2011,,9,"""31"""
胡利泉;张宁;,将工会维权触角延伸到源头——泸州市总工会参与创新社会管理纪实,工会信息,2011,,17,"""22-23"""
张文卿;,论我国工会维权制度,法制与经济(下旬),2011,,8,"""239-240"""
杨莲;,新形势下发挥高校基层工会维权职能的几点思考,教育教学论坛,2011,,21,"""165-168"""
刘福元;邓志刚;王晓东;,依法治校背景下的工会维权机制探讨,法制与经济(下旬),2011,,7,"""98-99"""
熊雪雁;,对基层工会维权困境以及维权途径的几点思考,工会论坛(山东省工会管理干部学院学报),2011,,4,"""3-4"""
谭华霖;田禀炜;,人事制度转型背景下高校工会维权职能分析,山东科技大学学报(社会科学版),2011,,3,"""50-56"""
本刊记者;,探寻企业工会维权之路,中国工运,2011,,6,"""16-21"""
程大勇;,职工权益保护与工会维权策略研究,劳动保障世界(理论版),2011,,6,"""59-60"""
张立新;李嘉娜;,工会维权联动机制情况调研报告,中国劳动关系学院学报,2011,,3,"""70-73"""
王彬;,构建和谐企业与工会维权的思考,工会论坛(山东省工会管理干部学院学报),2011,,3,"""12-13"""
周胜展;,企业改制后的工会维权职能思考,中外企业家,2011,,10,"""27-28"""
赖宇玲;,发挥工会维权职能参与创新社会管理,时代金融,2011,,14,"""116-117"""
李磊;,工会维权与企业文化建设的契合及展开,生产力研究,2011,,4,"""166-167"""
刘敏;,关于国有企业工会维权工作的几点思考,现代物业(中旬刊),2011,,4,"""53"""
,中牟县设立工会维权服务站助推工资集体协商,工会信息,2011,,6,"""31"""
张立坤;,筑牢工会维权维稳的基层防线,中国工运,2011,,3,"""32-33"""
张春鹏;,职工“六权”:工会维权的着力点,工会信息,2011,,5,"""9-10"""
包刚;,工会维权不应网络“失语”,中国职工教育,2011,,3,"""54-56"""
本刊评论员;,发挥工会维权职能 参与创新社会管理,工会博览,2011,,3,"""1"""
黄海鲲;周来发;,不辱使命挑大梁——云南省楚雄州经济开发区工会维权纪实,时代风采,2011,,2,"""10-11"""
宋文尚;,关于全面提高企业工会维权能力的思考,中国劳动关系学院学报,2011,,1,"""65-66"""
赵健杰;,立足劳动关系现状 破解工会维权难题——2010年全国工会学研究会和中国工人历史与现状研究会理论研讨会学术观点综述,中国劳动关系学院学报,2011,,1,"""122-125"""
